RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,P+R,P+A,P+R+A,VI,ORtg,DRtg,PpG_Per36,RpG_Per36,ApG_Per36,SpG_Per36,BpG_Per36,TOpG_Per36,FTA_Per36,2PA_Per36,3PA_Per36
,Donovan Mitchell,Cle,*,G,28.6,71,31.4,30.9,10.1,362,0.823,687,0.512,633,0.368,0.531,0.575,28.5,28.9,33.5,10.4,117.8,109.5,27.5,5.2,5.7,1.5,0.2,2.4,5.8,11.1,10.2
,Luke Kennard,Mem,*,G,28.8,65,22.6,14.5,14.3,57,0.895,170,0.547,261,0.433,0.609,0.631,11.7,12.2,15.0,7.7,125.9,115.0,14.2,4.5,5.3,1.3,0.2,1.8,1.4,4.2,6.4
,O.G. Anunoby,Nyk,*,F-G,27.7,74,36.6,19.7,9.0,226,0.81,567,0.561,460,0.372,0.559,0.591,22.8,20.2,25.1,6.3,118.1,111.7,17.7,4.7,2.2,1.5,0.9,1.4,3.0,7.5,6.1
,Jarrett Allen,Cle,*,C,27.0,82,28.0,15.9,13.2,277,0.718,635,0.712,5,0.0,0.706,0.724,23.2,15.4,25.1,9.0,141.1,106.5,17.4,12.5,2.4,1.2,1.2,1.5,4.3,10.0,0.1
,Bam Adebayo,Mia,*,C-F,27.7,78,34.3,23.5,12.6,327,0.765,892,0.517,221,0.357,0.521,0.561,27.7,22.4,32.0,10.6,115.1,107.5,19.0,10.1,4.5,1.4,0.7,2.2,4.4,12.0,3.0
,Isaiah Hartenstein,Okc,*,C-F,26.9,57,27.9,16.7,16.7,117,0.675,460,0.604,19,0.0,0.58,0.599,21.9,15.0,25.7,11.0,123.8,96.5,14.3,13.8,4.9,1.0,1.4,2.2,2.6,10.4,0.4
,Derrick White,Bos,*,G,30.8,76,33.9,19.8,12.0,161,0.839,268,0.593,691,0.384,0.58,0.606,20.9,21.2,25.7,8.3,123.0,110.0,17.4,4.8,5.1,1.0,1.2,1.8,2.2,3.7,9.7
,Josh Hart,Nyk,*,G,30.1,77,37.6,15.3,17.0,205,0.776,518,0.618,252,0.333,0.579,0.611,23.2,19.5,29.1,9.8,124.8,107.9,13.0,9.2,5.6,1.4,0.4,2.0,2.5,6.4,3.1
,Dillon Brooks,Hou,*,G-F,29.2,75,31.8,17.7,7.8,122,0.811,426,0.465,469,0.397,0.533,0.555,17.7,15.7,19.4,5.6,116.6,106.0,15.8,4.2,1.9,0.9,0.2,1.1,1.8,6.4,7.1
,Grayson Allen,Pho,*,G,29.5,64,24.1,17.6,13.3,114,0.816,139,0.504,350,0.426,0.6,0.631,13.7,12.8,15.8,6.7,118.6,117.1,15.8,4.5,3.1,1.2,0.4,1.8,2.7,3.2,8.2
,Mikal Bridges,Nyk,*,G-F,28.6,82,37.0,19.6,10.0,118,0.814,720,0.594,463,0.354,0.57,0.585,20.8,21.3,24.5,6.4,116.5,116.2,17.1,3.1,3.6,0.9,0.5,1.6,1.4,8.5,5.5
,Miles Bridges,Cha,*,F,27.1,64,31.7,28.0,11.1,254,0.87,639,0.513,450,0.313,0.495,0.541,27.8,24.2,31.7,10.6,109.8,114.2,23.1,8.5,4.4,0.8,0.8,2.4,4.5,11.3,8.0
,Jalen Brunson,Nyk,*,G,28.6,65,35.4,29.5,12.0,448,0.821,803,0.539,397,0.383,0.551,0.605,28.9,33.3,36.2,9.3,122.9,113.9,26.4,2.9,7.4,0.9,0.1,2.5,7.0,12.6,6.2
,Wendell Carter Jr.,Orl,*,C-F,26.0,68,25.9,16.0,13.5,175,0.737,333,0.568,158,0.234,0.498,0.544,16.3,11.1,18.3,7.8,114.7,100.2,12.6,10.0,2.8,1.1,0.8,1.5,3.6,6.8,3.2
,Donte DiVincenzo,Min,*,G,28.2,62,25.9,19.4,14.2,63,0.778,156,0.487,438,0.397,0.567,0.581,15.3,15.3,19.0,8.3,114.5,107.3,16.3,5.1,5.0,1.7,0.4,2.2,1.4,3.5,9.8
,Shai Gilgeous-Alexander,Okc,*,G,26.8,76,34.2,34.8,9.9,669,0.898,1221,0.571,435,0.375,0.569,0.637,37.7,39.1,44.1,11.9,128.8,106.0,34.4,5.3,6.7,1.8,1.1,2.5,9.3,16.9,6.0
,Kevin Huerter,Sac,,G-F,26.6,43,20.9,17.2,10.7,28,0.714,105,0.629,205,0.302,0.513,0.524,10.7,9.6,12.4,6.4,105.9,111.6,13.6,4.8,2.9,1.4,0.7,1.6,1.1,4.2,8.2
,Jaren Jackson Jr.,Mem,*,F-C,25.6,74,29.8,28.2,11.2,398,0.781,825,0.541,389,0.375,0.548,0.591,27.8,24.2,29.8,8.4,114.7,104.7,26.8,6.8,2.4,1.4,1.8,2.5,6.5,13.5,6.4
,Michael Porter Jr.,Den,*,F,26.8,77,33.7,20.2,9.0,194,0.768,559,0.599,489,0.395,0.596,0.617,25.2,20.3,27.3,7.6,121.4,113.4,19.4,7.5,2.2,0.6,0.5,1.5,2.7,7.8,6.8
